Player,Tm,Age,College,Pos,Rnd,Cmp,Att,Yds,TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Tkl,Def_Int,Sk,target
Huey Richardson,PIT,23,Florida,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Dan McGwire,SEA,23,San Diego St.,QB,1,14.8,29.6,149,0.4,1.2,2.8,1.2,0,0,0,0,0,0,0,5
Bobby Wilson,WAS,23,Michigan St.,DT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,4
Alfred Williams,CIN,22,Colorado,DE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.611111111,9
Vinnie Clark,GNB,22,Ohio St.,DB,1,0,0,0,0,0,0,0,0,0,0,0,0,2.166666667,0,6
Kelvin Pritchett,DAL,21,Mississippi,DT,1,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,2.25,14
Harvey Williams,KAN,24,LSU,RB,1,0.375,0.625,7.25,0.25,0,127.625,494,2.5,24.125,180.25,0.875,0,0,0,8
Stan Thomas,CHI,22,Texas,T,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Randal Hill,MIA,22,Miami (FL),WR,1,0,0,0,0,0,0.285714286,2.142857143,0,37.42857143,549.8571429,2,0,0,0,7
Todd Marinovich,RAI,22,USC,QB,1,52,102.5,672.5,4,4.5,6,22,0,0,0,0,0,0,0,2
Ted Washington,SFO,23,Louisville,NT,1,0,0,0,0,0,0,0,0,0,0,0,0,0.117647059,2.029411765,17
Henry Jones,BUF,23,Illinois,DB,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.416666667,12
Jarrod Bunch,NYG,23,Michigan,FB,1,0,0,0,0,0,34.5,157.25,1.25,6.5,39,0.5,0,0,0,4
Mike Dumas,HOU,22,Indiana,DB,2,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.5,10
Ed King,CLE,21,Auburn,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Reggie Johnson,DEN,23,Florida St.,TE,2,0,0,0,0,0,0.285714286,1,0,9.428571429,113,0.857142857,0,0,0,7
Roman Phifer,RAM,23,UCLA,LB,2,0,0,0,0,0,0,0,0,0,0,0,0,0.733333333,1.933333333,15
Mike Jones,PHO,22,North Carolina St.,DE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.055555556,9
Brett Favre,ATL,21,Southern Miss,QB,2,315,508.45,3591.9,25.4,16.8,30.1,92.2,0.7,0.1,-0.35,0,0,0,0,20
Browning Nagle,NYJ,23,Louisville,QB,2,35.5,72.83333333,414.8333333,1.333333333,3.333333333,4.333333333,11.33333333,0,0,0,0,0,0,0,6
Esera Tuaolo,GNB,23,Oregon St.,NT,2,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,1.333333333,9
George Thornton,SDG,23,Alabama,DT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,3
Dixon Edwards,DAL,23,Michigan St.,LB,2,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.9375,8
Darryll Lewis,HOU,22,Arizona,DB,2,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0.5,10
Eric Bieniemy,SDG,22,Colorado,RB,2,0,0.222222222,0,0,0,43,176.5555556,1.222222222,16.22222222,135.8888889,0,0,0,0,9
Shane Curry,IND,23,Miami (FL),DE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Jerome Henderson,NWE,22,Clemson,DB,2,0,0,0,0,0,0,0,0,0,0,0,0,1.125,0.125,8
Wesley Carroll,NOR,24,Miami (FL),WR,2,0,0,0,0,0,0,0,0,14,185.6666667,1,0,0,0,3
Nick Bell,RAI,23,Iowa,RB,2,0,0,0,0,0,75.33333333,284.3333333,2.333333333,7,71,0,0,0,0,3
John Flannery,HOU,22,Syracuse,G,2,0,0,0,0,0,0,0,0,0.125,0.25,0,0,0,0,8
Ricky Watters,SFO,22,Notre Dame,RB,2,0.090909091,0.181818182,0.090909091,0.090909091,0,238.3636364,967.5454545,7.090909091,42.45454545,386.1818182,1.181818182,0,0,0,11
Jeff Graham,PIT,22,Ohio St.,WR,2,0,0,0,0,0,0,0,0,49.27272727,742.9090909,2.727272727,0,0,0,11
Eric Moten,SDG,23,Michigan St.,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Jesse Campbell,PHI,22,North Carolina St.,DB,2,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0,8
Chris Zorich,CHI,22,Notre Dame,DT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.357142857,7
Joe Valerio,KAN,22,Pennsylvania,C,2,0,0,0,0,0,0,0,0,0.666666667,1.166666667,0.666666667,0,0,0,6
Doug Thomas,SEA,22,Clemson,WR,2,0,0,0,0,0,1.333333333,3.666666667,0,7.333333333,69,0,0,0,0,3
Lamar Rogers,CIN,23,Auburn,DE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
John Johnson,SFO,23,Clemson,LB,2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.6,5
Phil Hansen,BUF,23,North Dakota St.,DE,2,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,5.590909091,11
Kanavis McGhee,NYG,22,Colorado,LB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,5
Calvin Stephens,NWE,23,South Carolina,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
James Jones,CLE,22,Northern Iowa,DT,3,0,0,0,0,0,0.3,0.2,0.1,0.3,0.4,0.2,0,0.1,3.7,10
Reggie Barrett,DET,22,Texas-El Paso,WR,3,0,0,0,0,0,0,0,0,2,33.5,0.5,0,0,0,2
Aeneas Williams,PHO,23,Saginaw Valley St.,DB,3,0,0,0,0,0,0,0,0,0,0,0,0,3.928571429,0.214285714,14
Aaron Craver,MIA,22,Fresno St.,RB,3,0,0.222222222,0,0,0,27,107.3333333,1.111111111,18.88888889,151.5555556,0.444444444,0,0,0,9
Keith Traylor,DEN,22,Central Oklahoma,DT,3,0,0,0,0,0,0,0,0,0,0,0,0,0.117647059,1.176470588,17
Godfrey Myles,DAL,23,Florida,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,6
Mo Lewis,NYJ,21,Georgia,LB,3,0,0,0,0,0,0.076923077,0.230769231,0,0,0,0,0,1.076923077,4.038461538,13
Carlos Jenkins,MIN,23,Michigan St.,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,1.5,6
Lawrence Dawsey,TAM,23,Florida St.,WR,3,0,0,0,0,0,0.111111111,1,0.111111111,26.66666667,363.4444444,0.666666667,0,0,0,9
Don Davey,GNB,23,Wisconsin,DT,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.142857143,7
Jake Reed,MIN,24,Grambling St.,WR,3,0,0,0,0,0,0,0,0,37.5,583.25,3,0,0,0,12
Dave McCloughan,IND,24,Colorado,DB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Erik Williams,DAL,23,Central State (OH),T,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Steve Jackson,HOU,22,Purdue,DB,3,0,0,0,0,0,0,0,0,0,0,0,0,1.444444444,1,9
Bob Dahl,CIN,23,Notre Dame,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Ernie Mills,PIT,22,Florida,WR,3,0,0,0,0,0,2,13.44444444,0,21.77777778,326,2.222222222,0,0,0,9
David Daniels,SEA,22,Penn St.,WR,3,0,0,0,0,0,0,0,0,4.5,68.5,0,0,0,0,2
Rob Selby,PHI,23,Auburn,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Ricky Ervins,WAS,22,USC,RB,3,0,0,0,0,0,110.8,422.8,1.6,23.4,174,0.4,0,0,0,5
Tim Barnett,KAN,23,Jackson St.,WR,3,0,0,0,0,0,0.333333333,1,0,27.33333333,396,3.333333333,0,0,0,3
